77,"Beinn Tulaichean",350342,"Beinn Tulaichean",56.34,-4.5694,946.0,448
78,"Beinn Udlamain",350343,"Beinn Udlamain",56.8338,-4.3269,1010.0,261.1
79,"Ben Alder",350365,"Ben Alder",56.8127,-4.4624,1148.0,204.1
80,"Ben Avon-Leabaidh an Daimh Bhuidhe",352235,"Leabaidh An Daimh Bhuidhe",57.1,-3.4319,1171.0,168.7
81,"Ben Challum (Beinn Challuim)",350366,"Ben Challum",56.4536,-4.6194,1022.0,108.1
82,"Ben Chonzie",350367,"Ben Chonzie",56.4557,-3.9881,931.0,318.4
83,"Ben Cruachan",350368,"Ben Cruachan",56.4257,-5.1314,1126.0,129.4
84,"Ben Hope",350369,"Ben Hope",58.4136,-4.6049,927.0,180.7
85,"Ben Klibreck-Meall nan Con",352593,"Meall Nan Con",58.2351,-4.4075,961.0,212.8
86,"Ben Lawers",350370,"Ben Lawers",56.5467,-4.2186,1214.0,241.4
87,"Ben Lomond",350371,"Ben Lomond",56.1896,-4.6229,974.0,630
88,"Ben Lui (Beinn Laoigh)",350372,"Ben Lui",56.3969,-4.8092,1130.0,81.6
89,"Ben Macdui (Beinn Macduibh)",350373,"Ben Macdui",57.0724,-3.668,1309.0,235.5
90,"Ben More",350375,"Ben More (Stirling)",56.3877,-4.5399,1174.0,194.8
91,"Ben More",350374,"Ben More (Argyll & Bute)",56.423,-6.0143,966.0,204.1
92,"Ben More Assynt",350376,"Ben More Assynt",58.1384,-4.8577,998.0,38.4
93,"Ben Nevis",350377,"Ben Nevis",56.7965,-5.0013,1344.0,140.9
94,"Ben Oss",350378,"Ben Oss",56.3893,-4.773,1028.0,153.2
95,"Ben Starav",350379,"Ben Starav",56.5365,-5.0492,1078.0,273.7
96,"Ben Vane",350380,"Ben Vane",56.2497,-4.778,916.0,225
97,"Ben Vorlich",350382,"Ben Vorlich (Perth & Kinross)",56.3462,-4.2136,985.0,532.7
98,"Ben Vorlich",350381,"Ben Vorlich (Argyll & Bute)",56.2746,-4.7515,943.0,228
99,"Ben Wyvis-Glas Leathad Mor",351577,"Glas Leathad Mor",57.6816,-4.5753,1046.0,382.8
100,"Bidean nam Bian",350420,"Bidean Nam Bian",56.6437,-5.0321,1150.0,198.3
101,"Bidein a'Choire Sheasgaich",350419,"Bidean A' Choire Sheasgaich",57.4203,-5.2521,945.0,117
102,"Binnein Beag",350437,"Binnein Beag",56.7672,-4.9081,940.0,182.2
103,"Binnein Mor",350438,"Binnein Mor",56.7557,-4.9218,1128.0,285.6
104,"Bla Bheinn (Blabheinn) (Blaven)",350463,"Bla Bheinn",57.2207,-6.0905,928.0,206.3
105,"Braeriach",350560,"Braeriach",57.0749,-3.7288,1296.0,378.7
106,"Broad Cairn",350616,"Broad Cairn",56.92,-3.2527,998.0,240
107,"Bruach na Frithe",350657,"Bruach Na Frithe",57.2462,-6.2085,958.0,151.5
108,"Buachaille Etive Beag-Stob Coire Raineach",353684,"Stob Choire Raineach",56.6525,-4.95,925.0,303
109,"Buachaille Etive Beag-Stob Dubh",353693,"Stob Dubh",56.6386,-4.9722,958.0,102
110,"Buachaille Etive Mor-Stob Dearg",353691,"Stob Dearg",56.6483,-4.8996,1022.0,234.6
111,"Buachaille Etive Mor-Stob na Broige",353695,"Stob Na Broige",56.6311,-4.9519,956.0,143.2
112,"Bynack More",350704,"Bynack More",57.138,-3.5826,1090.0,130
113,"Cairn Bannoch",350712,"Cairn Bannoch",56.9274,-3.2833,1012.0,299.3
114,"Cairn Gorm",3065,"Cairn Gorm Summit",57.116,-3.642,1245.0,169.3
115,"Cairn of Claise",350715,"Cairn Of Claise",56.8955,-3.339,1064.0,148.5
116,"Cairn Toul",350716,"Cairn Toul",57.0516,-3.711,1291.0,311.3
117,"Carn a'Chlamain",350774,"Carn A' Chlamain",56.8668,-3.7812,963.0,655.5
118,"Carn a'Choire Bhoidheach",350775,"Carn A' Coire Bhoidheach",56.9457,-3.2704,1110.0,140.2
119,"Carn a'Gheoidh",350776,"Carn A' Gheoidh",56.8729,-3.4658,975.0,52.9
120,"Carn a'Mhaim",350777,"Carn A' Mhaim",57.0364,-3.6533,1037.0,313
121,"Carn an Fhidhleir (Carn Ealar)",350778,"Carn An Fhidhleir",56.9384,-3.8009,994.0,279.7
